xfer_mode,operation,block_size,threads,rep,throughput_gibs,latency_ms,gpu_temp_c,gpu_power_w
cpu_gpu,write,1M,8,2,7.682809,938.984383,48,11.98
cpu_gpu,write,1M,8,3,8.171724,877.928920,49,12.01
cpu_gpu,write,1M,16,1,8.191706,1750.185118,48,11.97
cpu_gpu,write,1M,16,2,7.676292,1876.463972,48,12.01
cpu_gpu,write,1M,16,3,8.184465,1750.274091,48,12.01
cpu_gpu,write,1M,32,1,8.194256,3495.987479,48,12.02
cpu_gpu,write,1M,32,2,7.526390,3832.851177,48,12.04
cpu_gpu,write,1M,32,3,8.167140,3490.005975,48,12.03
cpu_gpu,write,1M,64,1,7.915609,7305.345369,48,12.12
cpu_gpu,write,1M,64,2,7.254104,7983.529433,48,12.16
cpu_gpu,write,1M,64,3,7.925931,7608.402773,48,12.14
cpu_gpu,write,1M,128,1,7.334751,16075.161979,49,13.40
cpu_gpu,write,1M,128,2,7.515829,15028.725837,48,13.60
cpu_gpu,write,1M,128,3,7.508161,15905.595647,49,13.41
