test,model,type,width,height,steps,frames,megapixels,n_runs,mean_time_s,stddev_time_s,min_time_s,max_time_s,images_per_min,frames_per_sec,mean_gpu_temp,mean_gpu_power_w
z_turbo_512x512_4steps,z-image-turbo,image,512,512,4,1,0.26,3,18.96,24.2,4.68,46.9,3.2,0,49.0,31.0
z_turbo_768x768_4steps,z-image-turbo,image,768,768,4,1,0.59,3,10.2,5.61,5.68,16.47,5.9,0,55.0,50.1
z_turbo_1024x1024_4steps,z-image-turbo,image,1024,1024,4,1,1.05,3,14.46,4.97,9.43,19.36,4.1,0,58.0,33.3
z_turbo_1280x1280_4steps,z-image-turbo,image,1280,1280,4,1,1.64,3,16.02,5.21,11.38,21.66,3.7,0,64,44.1
z_turbo_1024x1024_8steps,z-image-turbo,image,1024,1024,8,1,1.05,3,14.03,2.33,11.86,16.49,4.3,0,61,32.5
wan22_480x480_17f,wan22-t2v-14b,video,480,480,4,17,3.92,2,106.29,81.95,48.34,164.24,0,0.16,52.0,20.1
wan22_640x640_33f,wan22-t2v-14b,video,640,640,4,33,13.52,2,28.44,0.35,28.19,28.68,0,1.16,61,13.1
